date,or_week,cn_share,us_share,spi,total_tokens
2026-07-12,2026-07-06,0.5673,0.3374,1.682,49279352975752
2026-07-12,2026-07-06,0.5673,0.3374,1.682,49279352975752
2026-07-12,2026-07-06,0.5678,0.337,1.685,49754831336746
2026-07-12,2026-07-06,0.5699,0.3355,1.699,52145866018074
2026-07-13,2026-07-06,0.57,0.3353,1.7,52474748064801
2026-07-13,2026-07-13,0.6013,0.3233,1.86,1299219426211
2026-07-13,2026-07-13,0.5989,0.3298,1.816,2805440264995
2026-07-13,2026-07-13,0.5947,0.3356,1.772,4391279047738
2026-07-13,2026-07-13,0.5923,0.3381,1.752,5809893413370
2026-07-13,2026-07-13,0.5924,0.3377,1.754,6442896684517
2026-07-13,2026-07-13,0.5922,0.3367,1.759,7361895212225
2026-07-13,2026-07-13,0.5919,0.3363,1.76,7967488304005
2026-07-13,2026-07-13,0.5919,0.3363,1.76,7985311394065
2026-07-13,2026-07-13,0.5919,0.3363,1.76,8326720805367
2026-07-14,2026-07-13,0.5938,0.3346,1.774,10114572833851
2026-07-14,2026-07-13,0.5952,0.3337,1.784,11160257722939
2026-07-14,2026-07-13,0.5947,0.3344,1.778,11964645139464
2026-07-14,2026-07-13,0.5941,0.3352,1.772,13361571401322
2026-07-14,2026-07-13,0.595,0.3342,1.78,14421026707846
2026-07-14,2026-07-13,0.5953,0.3339,1.783,14833189384855
2026-07-14,2026-07-13,0.5959,0.3331,1.789,15346650100658
2026-07-14,2026-07-13,0.5962,0.3327,1.792,15943153358649
2026-07-14,2026-07-13,0.5968,0.3319,1.798,16705095685337
2026-07-14,2026-07-13,0.5969,0.3317,1.799,16896578552772
2026-07-14,2026-07-13,0.5974,0.3312,1.804,17642198957112
2026-07-14,2026-07-13,0.5974,0.3311,1.804,17723139365609
2026-07-15,2026-07-13,0.5976,0.331,1.806,19084697605431
2026-07-15,2026-07-13,0.5983,0.3308,1.809,20571546275220
2026-07-15,2026-07-13,0.5987,0.331,1.809,21727914889224
2026-07-15,2026-07-13,0.5993,0.3306,1.813,22644503506937
2026-07-15,2026-07-13,0.6,0.3298,1.819,23685720387572
2026-07-15,2026-07-13,0.6003,0.3294,1.822,24267613768853
2026-07-15,2026-07-13,0.6007,0.3289,1.826,24946107764678
2026-07-15,2026-07-13,0.6009,0.3286,1.829,25405250963814
2026-07-15,2026-07-13,0.6011,0.3279,1.833,26565508575701
2026-07-15,2026-07-13,0.6014,0.3274,1.837,27073827127507
2026-07-15,2026-07-13,0.6016,0.3271,1.839,27438374888834
2026-07-16,2026-07-13,0.6021,0.3268,1.842,28994669972378
2026-07-16,2026-07-13,0.6025,0.3266,1.845,29782181160063
2026-07-16,2026-07-13,0.6021,0.3272,1.84,31428730552304
2026-07-16,2026-07-13,0.6023,0.3271,1.841,32473189235356
2026-07-16,2026-07-13,0.6025,0.327,1.842,33168330211786
2026-07-16,2026-07-13,0.6025,0.3269,1.843,33890902729604
2026-07-16,2026-07-13,0.6027,0.3267,1.845,34466788950752
2026-07-16,2026-07-13,0.6029,0.3264,1.847,34992942515533
2026-07-16,2026-07-13,0.6029,0.3261,1.849,35479422282333
2026-07-16,2026-07-13,0.6024,0.3261,1.848,36372391515778
2026-07-16,2026-07-13,0.6022,0.326,1.847,36735262164061
2026-07-16,2026-07-13,0.6021,0.326,1.847,36989901379651
2026-07-17,2026-07-13,0.6017,0.3259,1.846,38479732786965
2026-07-17,2026-07-13,0.6017,0.3258,1.847,39387451130209
2026-07-17,2026-07-13,0.6015,0.326,1.845,40597864586147
2026-07-17,2026-07-13,0.6015,0.326,1.845,41962294757902
2026-07-17,2026-07-13,0.602,0.3253,1.851,43085377819558
2026-07-17,2026-07-13,0.602,0.3252,1.851,43303973692839
2026-07-17,2026-07-13,0.6021,0.325,1.852,43995509629580
2026-07-17,2026-07-13,0.6018,0.325,1.852,44652006965331
2026-07-17,2026-07-13,0.6019,0.3247,1.854,45281236676545
2026-07-17,2026-07-13,0.6016,0.3244,1.855,45824463615255
2026-07-17,2026-07-13,0.6015,0.3243,1.855,46145404547096
2026-07-17,2026-07-13,0.6015,0.3242,1.855,46209551793231
2026-07-17,2026-07-13,0.6015,0.3241,1.856,46548360580468
2026-07-17,2026-07-13,0.6014,0.3238,1.858,46952659851860
2026-07-18,2026-07-13,0.6016,0.323,1.863,48003013713351
2026-07-18,2026-07-13,0.6018,0.3225,1.866,48895177818610
2026-07-18,2026-07-13,0.602,0.3222,1.869,49513673866056
2026-07-18,2026-07-13,0.6021,0.322,1.87,49997863849583
2026-07-18,2026-07-13,0.6027,0.3213,1.876,50856128885905
2026-07-18,2026-07-13,0.6032,0.3208,1.88,51359900538815
2026-07-18,2026-07-13,0.6058,0.3173,1.909,54338969645165
2026-07-19,2026-07-13,0.6062,0.3166,1.915,54831880253066
2026-07-19,2026-07-13,0.6069,0.3153,1.925,56000613397851
2026-07-19,2026-07-13,0.6073,0.3148,1.93,56682586220454
2026-07-19,2026-07-13,0.6073,0.3148,1.93,56682586220454
